,season,home_xGoals,home_shots,home_deep,home_ppda,home_fouls,home_total_xAssists,home_total_key_passes,home_total_xGoalsChain,away_xGoals,away_shots,away_deep,away_ppda,away_fouls,away_total_xAssists,away_total_key_passes,away_total_xGoalsChain,away_total_yellow_cards,home_redCards_binary,away_redCards_binary,home_yellowCards_cat,away_yellowCards_cat,home_shotsOnTarget_cat,away_shotsOnTarget_cat,home_corners_cat,away_corners_cat,home_total_blocked_shots_cat,away_total_blocked_shots_cat,home_total_saved_shots_cat,away_total_saved_shots_cat,time_category,away_rolling_xchain,home_discipline_score_avg,away_discipline_score_avg,gameresult
5461,2014,1.8721,12.0,2.0,7.9524,4.0,1.039811665192246,7.0,1.8884015977382669,1.80265,16.0,4.0,17.9333,12.0,1.3269750773906712,11.0,5.4079526960849735,0,False,False,1,0,4,6,5,3,4,3,4,4,Night,2.3626057112589476,-16.749996510417393,-18.87499606770915,0
5462,2014,1.59321,13.0,6.0,7.3333,13.0,1.4302543234080076,9.0,5.555420763790602,1.5187,12.0,3.0,9.24,19.0,0.6527070808224376,10.0,1.9624525923281895,2,False,False,0,2,5,3,5,5,1,1,3,2,Night,2.741484042443335,-16.632649666806188,-18.75509821324526,2
5463,2014,1.14876,8.0,1.0,7.8148,13.0,0.2113044075667856,4.0,0.33186766877770424,0.714399,14.0,2.0,5.6154,19.0,0.3369099088013172,9.0,1.7795774787664418,1,False,False,3,1,3,3,3,0,2,3,2,3,Night,2.724838724173605,-16.639996672000663,-18.81999623600075,2
5079,2014,1.17197,12.0,8.0,9.4167,12.597073719752391,0.5410510543733831,8.0,2.8383317291736603,1.74903,11.0,4.0,10.65,8.0,0.7730344757437713,8.0,2.2958491817116715,2,False,True,4,2,3,1,3,3,5,5,2,0,Night,2.002351545728743,-16.66666339869345,-18.921564917340213,1
5080,2014,0.548351,10.0,2.0,4.775,13.0,0.48530782200396105,8.0,0.5734552238136528,0.379371,8.0,4.0,5.8,13.0,0.2312710564583536,5.0,1.1559850331395856,3,False,False,1,2,3,1,5,3,1,6,1,0,Night,2.4263182774186136,-16.615381420118958,-19.11538093934982,2
5081,2014,0.978788,19.0,5.0,6.6667,8.0,0.6525243623182175,11.0,2.5361305065453057,0.399306,12.0,4.0,15.8,9.0,0.3317457903176546,9.0,0.758627826347948,2,False,True,3,2,6,2,11,7,6,4,6,1,Night,2.187496637552977,-16.584902531150465,-19.03773225703165,1
5464,2014,0.907071,16.0,6.0,4.25,19.0,0.7812472619116307,13.0,4.18039794638753,1.83188,8.0,3.0,12.2727,17.0,1.756597012281417,6.0,6.592731212265792,3,False,False,1,3,4,3,5,1,5,1,4,2,Noon,2.5752556905150414,-16.629626550069155,-19.03703351166046,0
4017,2014,0.870175,9.0,2.0,20.5,10.0,0.14859272725880152,5.0,1.125457657501102,1.60916,19.0,13.0,9.7895,10.0,0.4842172786593437,10.0,3.206063184887171,3,True,False,1,3,2,3,4,5,4,5,1,2,Noon,2.7028404898941516,-16.563633352066663,-18.89090565619897,1
4018,2014,2.38894,18.0,8.0,7.7241,12.0,2.0535622630268326,14.0,11.749248679727323,1.07617,9.0,2.0,16.2857,6.0,0.9544634334743022,6.0,1.3740959353744984,1,False,False,0,1,5,1,7,6,7,1,1,1,Noon,2.8937555156648154,-16.749997008929103,-18.83928235012815,2
4706,2014,0.35254,10.0,5.0,7.275,16.0,0.2183919576928019,6.0,0.2252264320850371,1.84123,14.0,7.0,8.15,14.0,0.3506636107340458,8.0,0.9896658146753903,2,False,False,2,2,3,4,4,3,4,2,1,2,After Noon,2.754371720924973,-16.789470738689342,-18.789470387812212,1
